source_file,report_type,cable_id,pair,status,status_group,ckid,lp_status,svc_type,bp_clr,capr_ref,terminal,address,city,state,defect_type,raw_block
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,295,SPR,Spare,,,,,,,,,,,pr 295 stat SPR CQ EXISTS rmk RIP-CORP-FINANCE - DO NOT RMV RMK OR RST rst ARST RIP-CORP-FINANC
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,296,DEF,Defective,,,,,,,,,,KIL,pr 296 stat DEF def type KIL def date 11-17-03 ctt CLRM0549 CQ EXISTS
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,297,PCF,Review / assigned,NONE,PCF,,27,,F 123 MAJORS RD,126 MAJORS RD,PENSACOLA,FL,,pr 297 stat PCF cq G9 rmk RIP-CORP-FINANCE - DO NOT RMV RMK OR RST rst ARST RIP-CORP-FINANC ckid NONE lp stat PCF 07-14-06 bp/clr 27 tea F 123 MAJORS RD type FIXED dist tea F 123 MAJORS RD type FIXED addr: 126 MAJORS RD com PENSACOLA state FL serv tea F 123 MAJORS RD type FIXED
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,298,PCF,Review / assigned,NONE,PCF,,23,,RF 8 HANCOCK LN,9 HANCOCK LN,PENSACOLA,FL,,pr 298 stat PCF cq G4 rmk RIP-CORP-FINANCE - DO NOT RMV RMK OR RST rst ARST RIP-CORP-FINANC ckid NONE lp stat PCF 12-05-09 bp/clr 23 tea RF 8 HANCOCK LN type FIXED dist tea RF 8 HANCOCK LN type FIXED addr: 9 HANCOCK LN com PENSACOLA state FL serv tea RF 8 HANCOCK LN type FIXED ** CABLE PAIR OUTPUT ** page 30
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,299,PCF,Review / assigned,NONE,PCF,,"UNK,BL-W+V-BR",,R 126 MAJORS RD,130 MAJORS RD LOT B,PENSACOLA,FL,,"pr 299 stat PCF cq G4 rmk RIP-CORP-FINANCE - DO NOT RMV RMK OR RST rst ARST RIP-CORP-FINANC ckid NONE lp stat PCF 03-06-15 bp/clr UNK,BL-W+V-BR tea R 126 MAJORS RD type RA dist tea R 126 MAJORS RD type RA addr: 130 MAJORS RD LOT B com PENSACOLA state FL serv tea R 126 MAJORS RD type RA"
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,300,DEF,Defective,,,,,,,,,,CRS,pr 300 stat DEF def type CRS def date 05-13-08 ctt C3751GRE CQ EXISTS
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,301,DEF,Defective,,,,,,,,,,CBY,pr 301 stat DEF def type CBY def date 01-17-97 ctt 700113 CQ EXISTS
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,302,DEF,Defective,,,,,,,,,,SHT,pr 302 stat DEF def type SHT def date 01-17-97 ctt 700113 CQ EXISTS
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,303,PCF,Review / assigned,NONE,PCF,,3,,F 6355.1 N PALAFOX HWY,6355 N PALAFOX ST,PENSACOLA,FL,,pr 303 stat PCF cq G4 rmk RIP-CORP-FINANCE - DO NOT RMV RMK OR RST rst ARST RIP-CORP-FINANC ckid NONE lp stat PCF 07-29-00 bp/clr 3 tea F 6355.1 N PALAFOX HWY type FIXED dist tea F 6355.1 N PALAFOX HWY type FIXED addr: 6355 N PALAFOX ST com PENSACOLA state FL serv tea F 6355.1 N PALAFOX HWY type FIXED
"CAPR 6680P, 1-1200.pdf",CAPR/CPR,6680P,304,PCF,Review / assigned,NONE,PCF,,4,,F 6355.1 N PALAFOX HWY,6355 N PALAFOX ST,PENSACOLA,FL,,pr 304 stat PCF cq G4 rmk RIP-CORP-FINANCE - DO NOT RMV RMK OR RST rst ARST RIP-CORP-FINANC ckid NONE lp stat PCF 07-29-00 bp/clr 4 tea F 6355.1 N PALAFOX HWY type FIXED dist tea F 6355.1 N PALAFOX HWY type FIXED addr: 6355 N PALAFOX ST com PENSACOLA state FL serv tea F 6355.1 N PALAFOX HWY type FIXED
